Patronim,Sex,count
гараевна,0,336
аристарховна,0,336
ахунович,1,335
шайхуллович,1,335
шафиковна,0,335
екимовна,0,334
галяутдиновна,0,333
владиленович,1,333
миниярович,1,333
нигматулловна,0,333
мингазовна,0,333
минигалеевич,1,331
анасович,1,331
давлетовна,0,331
карапетовна,0,330
аминович,1,329
габитович,1,329
мифодьевна,0,328
нигматович,1,328
никодимовна,0,328
модестович,1,327
михаилович,1,326
виссарионович,1,326
хуснутдинович,1,326
сабирзяновна,0,326
минигалиевна,0,325
валиуллович,1,325
амбарцумович,1,325
хайретдиновна,0,325
сафиновна,0,325
вильгельмовна,0,325
хазиахметович,1,324
идиятовна,0,324
хабибовна,0,324
варламович,1,322
тимерхановна,0,321
измайловна,0,321
николай,1,321
симонович,1,320
галактионовна,0,319
кузминична,0,319
мустафаевич,1,318
хусяиновна,0,318
арсенович,1,318
пахомович,1,318
валентина,0,318
андреянович,1,318
галяутдинович,1,318
хайретдинович,1,317
умаровна,0,317
шакурович,1,317
камильевич,1,317
ростиславовна,0,317
мухаметдиновна,0,316
камалович,1,316
артёмовна,0,316
хурматович,1,316
ипполитовна,0,315
исидоровна,0,315
филатовна,0,314
клементьевич,1,314
ахметзяновна,0,314
изотовна,0,313
аглямовна,0,313
мартемьянович,1,313
мустафовна,0,312
мингалеевич,1,312
шарифовна,0,312
хатмуллович,1,312
хуснутдиновна,0,312
рубеновна,0,311
ервандович,1,310
хамидовна,0,310
ипполитович,1,310
ситдиковна,0,310
гаянович,1,309
габидулловна,0,309
ризванович,1,309
гумаровна,0,308
зосимович,1,308
умярович,1,307
фирсович,1,307
мусаевна,0,307
сабирзянович,1,307
гаджиевна,0,307
виссарионовна,0,307
гусейнович,1,306
фанилович,1,306
шайхулловна,0,305
андроникович,1,304
рахимьяновна,0,304
мифодьевич,1,304
абзаловна,0,304
галимулловна,0,304
сафуанович,1,302
ситдикович,1,302
галактионович,1,302
равиловна,0,302
фаридович,1,302
низамовна,0,301
загирович,1,301
киямович,1,300
назирович,1,300
шакуровна,0,298
парамоновна,0,298
абдуллаевна,0,297
аксентьевич,1,296
минибаевна,0,295
билалович,1,295
багаутдиновна,0,294
свиридовна,0,294
тимергалиевна,0,294
измайлович,1,294
акоповна,0,293
гиндуллович,1,293
нуретдинович,1,293
ларионович,1,292
авенирович,1,292
никодимович,1,291
абубакировна,0,291
аршаковна,0,291
умяровна,0,291
людвиговна,0,290
лукмановна,0,290
халикович,1,289
симоновна,0,289
муллаяновна,0,289
филатович,1,288
арнольдовна,0,288
минигалеевна,0,288
фаатович,1,288
сибагатович,1,288
флюрович,1,288
багаутдинович,1,287
низамутдиновна,0,287
фатеевна,0,286
фаррахович,1,286
касымовна,0,285
абдулхаевна,0,285
габдуллинович,1,285
яхиевна,0,283
абдрахимович,1,283
хайбуллович,1,282
алимовна,0,282
севостьянович,1,281
болеславович,1,281
муратовна,0,280
халяфович,1,280
зосимовна,0,279
руслановна,0,279
камилевич,1,279
нигматуллович,1,278
арамовна,0,278
нуретдиновна,0,278
артамоновна,0,278
ахуновна,0,278
ахметзянович,1,277
имамович,1,276
евтеевна,0,276
африканович,1,275
тигранович,1,273
болеславовна,0,273
зиннуровна,0,273
сафарович,1,273
сайфутдиновна,0,272
муллахметович,1,272
филипович,1,272
хусяинович,1,272
мингалиевич,1,272
расимович,1,271
казбекович,1,271
измаилович,1,271
мидхатовна,0,270
хабибуллинович,1,270
искандаровна,0,270
мубараковна,0,269
арефьевич,1,268
бадретдинович,1,268
виталиевич,1,268
хаматович,1,268
саляхович,1,268
ришатович,1,267
альфредовна,0,267
даутович,1,266
мартемьяновна,0,266
мустафинович,1,266
шамильевна,0,266
саматовна,0,266
миргасимович,1,266
тимербаевич,1,266
тимерьянович,1,265
ахматович,1,265
хайбрахманович,1,264
святославович,1,264
виктор,1,264
закариевич,1,264
рифовна,0,263
харлампиевич,1,263
ваганович,1,263
биктимирович,1,263
мусинович,1,263
артёмович,1,262
шакирьяновна,0,261
ермилович,1,261
зиятдинович,1,261
хакимьянович,1,261
гавриилович,1,261
гусмановна,0,260
губаевич,1,260
арменаковна,0,260
арутюновна,0,260
сибагатовна,0,259
габдулхаевна,0,259
гибадулловна,0,259
камаловна,0,259
меркурьевна,0,259
гиндулловна,0,257
мефодиевна,0,257
хамзиновна,0,256
зиевич,1,255
мунировна,0,255
ахиярович,1,254
шаяхметович,1,254
магсумовна,0,254
фокеевна,0,253
хатипович,1,253
хайбулловна,0,253
вахитовна,0,253
закирьянович,1,252
муллахметовна,0,252
мусиновна,0,252
мифтахович,1,251
инокентьевна,0,251
вартановна,0,251
изотович,1,251
кутдусович,1,251
перфильевна,0,251
эмануилович,1,250
шамиловна,0,250
парамонович,1,250
шакирзяновна,0,250
аристархович,1,250
исидорович,1,249
рауфовна,0,248
рахимзяновна,0,248
гарегинович,1,248
габдуллиновна,0,248
билаловна,0,247
назифович,1,247
богдановна,0,247
шарифьяновна,0,247
насырович,1,246
минуллович,1,246
шаяхметовна,0,245
киямовна,0,245
евлампьевна,0,245
муллануровна,0,244
евменовна,0,244
зинуровна,0,244
зайнетдинович,1,243
зотовна,0,243
ильгизович,1,243
бареевич,1,243
фарраховна,0,242
мазгарович,1,242
гильметдинович,1,242
сафовна,0,242
пантилеевна,0,242
шавкатович,1,241
